name,category,description,price,sku,image_url
ABSOLUTE VODKA,Vodka,,2700,,,
ALL SEASON 750ML,Wine,,1800,,,
AMARULA 375 ML,Cream Liqueur,,2100,,,
AMARULA 750ML,Cream Liqueur,,3750,,,
AMARULA 1L,Cream Liqueur,,5100,,,
BAILEYS 350ML,Cream Liqueur,,2250,,,
BAILEYS 750ML,Cream Liqueur,,3750,,,
BALOZI,Beer,,250,,,
BALOZI CAN,Beer,,300,,,
BARCADI CAETA BLANCA 750ML,Rum,,3150,,,
BARCADI SPICED RUM 750ML,Rum,,4500,,,
BAVARIA 500,Beer,,250,,,
BALLANTINES,Whisky,,3900,,,
BEEFEATER CLEAR 750ML,Gin,,3300,,,
BEEFEATER PINK 750ML,Gin,,3800,,,
BEEFEATER CLEAR (Shot),Gin,,150,,,
BEEFEATER PINK (Shot),Gin,,150,,,
BEST CREAM 750ML,Cream Liqueur,,1880,,,
BEST WHISKEY 750ML,Whisky,,1680,,,
BULLET BOURBON,Whisky,,6340,,,
BLACK & WHITE 350ML,Whisky,,1050,,,
BLACK & WHITE 750ML,Whisky,,2100,,,
BLACK ICE,Beer,,300,,,
BLACK ICE CAN,Beer,,300,,,
BLUE LABEL 750 ML,Whisky,,29250,,,
BOND7 750ML,Whisky,,2100,,,
CAMINO,Vodka,,4500,,,
CAMINO CLEAR (Shot),Vodka,,200,,,
CAPTAIN RUM (Shot),Rum,,100,,,
CHIVAS 12YES 1LTR,Whisky,,6000,,,
CHIVAS REGAL 750ML,Whisky,,5700,,,
CIBOC VODKA 750ML,Vodka,,6500,,,
COURVOSIER,Cognac,,6600,,,
CAPTAIN MORGAN,Rum,,1500,,,
CAPTAIN MORGAN SPICED GOLD 1L,Rum,,4200,,,
CAPTAIN MORGAN SPICED GOLD 750ML,Rum,,3000,,,
DALWHINE,Whisky,,11500,,,
DELMONTE,Soft Drink,,380,,,
DESPARADO,Beer,,450,,,
DONJULIO BLANCO,Tequila,,10200,,,
DONJULIO ANEJO,Tequila,,12500,,,
DONJULIO REPOSADA,Tequila,,11100,,,
DONJULIO 1942 ANEJO,Tequila,,33000,,,
DON JULIO BLANCO (Shot),Tequila,,500,,,
DON JULIO ANEJO (Shot),Tequila,,500,,,
EMPTY BOTTLES,Other,,100,,,
FLAVORED WATER,Water,,150,,,
FAMOUS GROUSE 750ML,Whisky,,2800,,,
FAMOUSE GROUSE 1LTR,Whisky,,4600,,,
GENTLEMAINS JACK,Whisky,,7900,,,
GIBEYS PINK,Gin,,2250,,,
GIBEYS 350ML,Gin,,1000,,,
GIBEYS 750ML,Gin,,2250,,,
GILBEYS (Shot),Gin,,150,,,
GLEN SILVER 750ML,Whisky,,3500,,,
GLENFIDICH 15YES 1LTR,Whisky,,10500,,,
GLENFIDICH 12YES 1L,Whisky,,10500,,,
GLENFIDICH 12YES 750ML,Whisky,,7500,,,
GLENFIDICH 15YES 750ML,Whisky,,11700,,,
GLENFIDICH 18YES 750ML,Whisky,,19500,,,
GLENFIDICH 21YES 750ML,Whisky,,30000,,,
GLENLIVET RESERVE,Whisky,,7410,,,
GLENLIVET 12YES,Whisky,,8000,,,
GLENLIVET 15 YES,Whisky,,9100,,,
GLENLIVET 18 YES,Whisky,,17500,,,
GORDONS 1L,Gin,,4200,,,
GORDONS 350ML,Gin,,1500,,,
GORDONS CLEAR 750ML,Gin,,3300,,,
GORDONS CLEAR (Shot),Gin,,150,,,
GORDONS ORANGE 750ML,Gin,,3100,,,
GORDONS PINK 750ML,Gin,,3800,,,
GORDONS PINK (Shot),Gin,,150,,,
GORDONS PINK CAN,Gin,,350,,,
GRANTS ILTR,Whisky,,3900,,,
GRANTS 750ML,Whisky,,3150,,,
GRANTS (Shot),Whisky,,200,,,
GUARANA 300ML,Soft Drink,,250,,,
GUARANA 400ML,Soft Drink,,200,,,
GUINESS CAN,Beer,,300,,,
GUINESS LAGER,Beer,,250,,,
GUINESS SMOOTH,Beer,,250,,,
HAVANA,Rum,,4500,,,
HEINEKEN 00,Beer,,350,,,
HEINEKEN,Beer,,380,,,
HENDRICKS GIN,Gin,,5850,,,
HENESSYN VSOP,Cognac,,13000,,,
HENNESSY COGNAC VS,Cognac,,7900,,,
HONEY CIDER,Cider,,300,,,
HOPE HOUSE,Beer,,250,,,
HUNTERS GOLD,Cider,,350,,,
HUNTERS DRY CIDER,Cider,,350,,,
J&B 750ML,Whisky,,2700,,,
J & B IL,Whisky,,3500,,,
JACK DANIELS ILTR,Whisky,,6000,,,
JACK DANIELS 700ML,Whisky,,5000,,,
JACK DANIELS (Shot),Whisky,,250,,,
JAGERMEISTER IL,Liqueur,,6300,,,
JAGERMEISTER 750ML,Liqueur,,4800,,,
JAGERMEISTER (Shot),Liqueur,,250,,,
JAMESON ILTR,Whisky,,4500,,,
JAMESON 350ML,Whisky,,1800,,,
JAMESON 750ML,Whisky,,3500,,,
JAMESON (Shot),Whisky,,250,,,
JAMESON BLACK BARREL 750ML,Whisky,,7000,,,
JOSE CUARVO,Tequila,,4500,,,
JOSE QUAVO TOTS (Shot),Tequila,,200,,,
JW BLACK LABEL ILTR,Whisky,,6000,,,
JW BLACK LABEL 350ML,Whisky,,3000,,,
JW BLACK LABEL 750ML,Whisky,,5000,,,
JW DOUBLE BLACK ILTR,Whisky,,8320,,,
JW GOLD LABEL 18YES IL,Whisky,,9500,,,
JW GOLD LABEL IL,Whisky,,10500,,,
JW GOLD RESERVE 750ML,Whisky,,9620,,,
JW GREEN LABEL 750 ML,Whisky,,8840,,,
JW RED LABEL IL,Whisky,,3750,,,
JW RED LABEL 350ML,Whisky,,1900,,,
JW RED LABEL 750ML,Whisky,,3000,,,
JW RED LABEL (Shot),Whisky,,200,,,
JW WHITE WALKER,Whisky,,9000,,,
KETEL CITRON 750ML,Vodka,,5000,,,
KETEL VODKA 750 ML,Vodka,,5500,,,
